id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,PassageId,Subscription
F_BAN_L005_Q042,5,National Symbols,Which is the national mosque of Bangladesh?,Ahsan Manzil,Lalbagh Fort,Baitul Mukarram,Curzon Hall,Baitul Mukarram,MCQ,,,Pro
F_BAN_L005_Q043,5,National Symbols,Which is the national fish of Bangladesh?,Hilsa,Shark,Salmon,Tuna,Hilsa,MCQ,,,Pro
F_BAN_L005_Q044,5,National Symbols,Which national symbol has a red circle?,National Flower,National Game,National Bird,National Flag,National Flag,MCQ,,,Pro
F_BAN_L005_Q045,5,National Symbols,Which national symbol is played as a team sport?,Tennis,Chess,Golf,Kabaddi,Kabaddi,MCQ,,,Pro
F_BAN_L005_Q046,5,National Symbols,Which national symbol represents courage and strength?,Royal Bengal Tiger,Hilsa,Water Lily,Jackfruit,Royal Bengal Tiger,MCQ,,,Pro
F_BAN_L005_Q047,5,National Symbols,Which national flower is a symbol of Bangladesh's beauty?,Water Lily,Clock,Train,Airplane,Water Lily,MCQ,,,Pro
F_BAN_L005_Q048,5,National Symbols,Which national symbol is displayed on national celebrations?,Football,School Bag,Bicycle,National Flag,National Flag,MCQ,,,Pro
F_BAN_L005_Q049,5,National Symbols,Which national symbol was written by Rabindranath Tagore?,National Tree,National Bird,National Anthem,National Game,National Anthem,MCQ,,,Pro
F_BAN_L005_Q050,5,National Symbols,Which is the largest fruit grown in Bangladesh?,Orange,Jackfruit,Lychee,Guava,Jackfruit,MCQ,,,Pro
F_BAN_L006_Q051,6,Culture,What is the Bengali New Year called?,Winter Day,Pohela Boishakh,Victory Day,Eid Fair,Pohela Boishakh,MCQ,,,Pro
F_BAN_L006_Q052,6,Culture,In which month is Pohela Boishakh celebrated?,October,July,April,December,April,MCQ,,,Pro
F_BAN_L006_Q053,6,Culture,What traditional dress do many women wear?,Helmet,Coat,Kimono,Saree,Saree,MCQ,,,Pro
F_BAN_L006_Q054,6,Culture,What traditional dress do many men wear on festivals?,Panjabi,Kimono,Armor,Spacesuit,Panjabi,MCQ,,,Pro
F_BAN_L006_Q055,6,Culture,Which sweet is popular in Bangladesh?,Roshogolla,Taco,Pizza,Nachos,Roshogolla,MCQ,,,Pro
F_BAN_L006_Q056,6,Culture,What is a common greeting during Eid?,Thank You,Happy Birthday,Eid Mubarak,Good Night,Eid Mubarak,MCQ,,,Pro
F_BAN_L006_Q057,6,Culture,Which musical instrument is common in folk music?,Flute,Drum,Guitar,Dotara,Dotara,MCQ,,,Pro
F_BAN_L006_Q058,6,Culture,What do children often fly during festivals?,Flags,Balloons,Kites,Paper planes,Kites,MCQ,,,Pro
F_BAN_L006_Q059,6,Culture,What do many people eat with rice?,Ice only,Chocolate only,Bread only,Curry,Curry,MCQ,,,Pro
F_BAN_L006_Q060,6,Culture,What art is made on Pohela Boishakh processions?,Tires,Rockets,Masks,Helmets,Masks,MCQ,,,Pro
F_BAN_L007_Q061,7,Culture,Which language do most people speak in Bangladesh?,French,Bengali,Russian,Japanese,Bengali,MCQ,,,Pro
F_BAN_L007_Q062,7,Culture,Which flower is national flower of Bangladesh?,Rose,Tulip,Lily of valley,Water Lily,Water Lily,MCQ,,,Pro
F_BAN_L007_Q063,7,Culture,Which bird is national bird of Bangladesh?,Owl,Penguin,Magpie Robin,Eagle,Magpie Robin,MCQ,,,Pro
F_BAN_L007_Q064,7,Culture,What do children often wear on festivals?,School uniform only,New clothes,Armor,Raincoats only,New clothes,MCQ,,,Pro
F_BAN_L007_Q065,7,Culture,Which food is popular at breakfast?,Steak only,Pitha,Sushi only,Sandwich only,Pitha,MCQ,,,Pro
F_BAN_L007_Q066,7,Culture,What is pitha?,A car,A river,Traditional cake,A game,Traditional cake,MCQ,,,Pro
F_BAN_L007_Q067,7,Culture,Which season often has many village fairs?,Monsoon only,Summer only,Winter,,Winter,MCQ,,,Pro
F_BAN_L007_Q068,7,Culture,What do people decorate hands with at weddings?,Glue,Mehendi,Paint mud,Ink only,Mehendi,MCQ,,,Pro
F_BAN_L007_Q069,7,Culture,Which festival comes after Ramadan?,Eid-ul-Fitr,Pohela Boishakh,Christmas,Buddha Purnima,Eid-ul-Fitr,MCQ,,,Pro
F_BAN_L007_Q070,7,Culture,Which festival honors sacrifice in Islam?,River Day,Tree Day,Eid-ul-Adha,Book Day,Eid-ul-Adha,MCQ,,,Pro
F_BAN_L008_Q071,8,Culture,What do people often share with guests?,Thunder,Dust,Hospitality,Stones,Hospitality,MCQ,,,Pro
F_BAN_L008_Q072,8,Culture,Which craft uses bamboo and cane?,Ship flying,Robot mining,Ice carving,Basket making,Basket making,MCQ,,,Pro
F_BAN_L008_Q073,8,Culture,Which city is famous for jamdani saree nearby?,Desert Port,Nepal City,Snow Town,Dhaka,Dhaka,MCQ,,,Pro
F_BAN_L008_Q074,8,Culture,What do people enjoy at cultural programs?,Songs and dance,Only homework,Only silence,Only sleep,Songs and dance,MCQ,,,Pro
F_BAN_L008_Q075,8,Culture,Which value is important in Bangladeshi culture?,Greed,Noise,Rudeness,Respect for elders,Respect for elders,MCQ,,,Pro
F_BAN_L008_Q076,8,Culture,What do people wear on Pohela Boishakh?,Traditional clothes,School uniform,Pajamas,Raincoat,Traditional clothes,MCQ,,,Pro
F_BAN_L008_Q077,8,Culture,What do many people enjoy during Pohela Boishakh?,Space travel,Snowstorms,Fire drills,Colorful processions,Colorful processions,MCQ,,,Pro
F_BAN_L008_Q078,8,Culture,What do people decorate during festivals?,Rivers,Homes,Mountains,Roads only,Homes,MCQ,,,Pro
F_BAN_L008_Q079,8,Culture,What do families often do during festivals?,Ignore each other,Sleep all day,Stay apart,Spend time together,Spend time together,MCQ,,,Pro
F_BAN_L008_Q080,8,Culture,What do children enjoy during festivals?,Cleaning classrooms,Games and fun,Exams,Homework,Games and fun,MCQ,,,Pro
F_BAN_L009_Q081,9,Culture,What is a common greeting during Eid?,Eid Mubarak,Happy Snow,Good Rocket,Red Moon,Eid Mubarak,MCQ,,,Pro
F_BAN_L009_Q082,9,Culture,Which musical instrument is common in folk music?,Engine,Laptop,Drill,Dotara,Dotara,MCQ,,,Pro
F_BAN_L009_Q083,9,Culture,What do people fly during some festivals?,Kites,Cars,Boats,Trains,Kites,MCQ,,,Pro
F_BAN_L009_Q084,9,Culture,Which meal is common with rice?,Curry,Bread only,Chocolate only,Ice only,Curry,MCQ,,,Pro
F_BAN_L009_Q085,9,Culture,What art is made on Pohela Boishakh processions?,Helmets,Rockets,Masks,Tires,Masks,MCQ,,,Pro
F_BAN_L009_Q086,9,Culture,Which language do most people speak in Bangladesh?,French,Russian,Bengali,Japanese,Bengali,MCQ,,,Pro
F_BAN_L009_Q087,9,Culture,Which flower is national flower of Bangladesh?,Water Lily,Rose,Tulip,Lily of valley,Water Lily,MCQ,,,Pro
F_BAN_L009_Q088,9,Culture,Which bird is national bird of Bangladesh?,Penguin,Owl,Eagle,Magpie Robin,Magpie Robin,MCQ,,,Pro
F_BAN_L009_Q089,9,Culture,What do children often wear on festivals?,Raincoats only,Armor,New clothes,School uniform only,New clothes,MCQ,,,Pro
F_BAN_L009_Q090,9,Culture,Which food is popular at breakfast?,Sushi only,Steak only,Pitha,Sandwich only,Pitha,MCQ,,,Pro
F_BAN_L010_Q091,10,Culture,What is pitha?,Traditional cake,A Bird,A game,A flower,Traditional cake,MCQ,,,Pro
F_BAN_L010_Q092,10,Culture,Which season often has many village fairs?,Winter,Summer only,Monsoon only,Spring,Winter,MCQ,,,Pro
F_BAN_L010_Q093,10,Culture,What do many people decorate their hands with at weddings?,Paint mud,Glue,Ink only,Mehendi,Mehendi,MCQ,,,Pro
F_BAN_L010_Q094,10,Culture,Which festival comes after Ramadan?,Buddha Purnima,Pohela Boishakh,Eid-ul-Fitr,Christmas,Eid-ul-Fitr,MCQ,,,Pro
F_BAN_L010_Q095,10,Culture,Which festival honors sacrifice in Islam?,Tree Day,River Day,Book Day,Eid-ul-Adha,Eid-ul-Adha,MCQ,,,Pro
F_BAN_L010_Q096,10,Culture,What do people usually do when guests arrive?,Ignore them,Close the door,Welcome them warmly,Walk away,Welcome them warmly,MCQ,,,Pro
F_BAN_L010_Q097,10,Culture,Which craft is made by weaving bamboo strips?,Pottery,Painting,Basket making,Sewing,Basket making,MCQ,,,Pro
F_BAN_L010_Q098,10,Culture,Which city is famous for Jamdani sarees?,Sylhet,Rajshahi,Dhaka,Chattogram,Dhaka,MCQ,,,Pro
F_BAN_L010_Q099,10,Culture,What do people watch at cultural programs?,Football matches,Songs and dances,Cooking classes,Science lessons,Songs and dances,MCQ,,,Pro
F_BAN_L010_Q100,10,Culture,Which good habit is part of Bangladeshi culture?,Helping others,Being rude,Littering,Fighting,Helping others,MCQ,,,Pro
F_BAN_L011_Q101,11,History,When did Bangladesh become independent?,1991,1981,1965,1971,1971,MCQ,,,Pro
F_BAN_L011_Q102,11,History,Who is known as the Father of the Nation of Bangladesh?,Ziaur Rahman,Sheikh Mujibur Rahman,Begum Rokeya,Kazi Nazrul Islam,Sheikh Mujibur Rahman,MCQ,,,Pro
F_BAN_L011_Q103,11,History,Which day is celebrated on 26 March?,Republic Day,Language Day,Independence Day,Victory Day,Independence Day,MCQ,,,Pro
F_BAN_L011_Q104,11,History,Which day is celebrated on 16 December?,Victory Day,Pohela Boishakh,Language Day,Labour Day,Victory Day,MCQ,,,Pro
F_BAN_L011_Q105,11,History,Which important movement happened in 1952?,Language Movement,Student Sports Movement,River Movement,Farmers Movement,Language Movement,MCQ,,,Pro
F_BAN_L011_Q106,11,History,Which language did people protect during the Language Movement?,Bengali,English,Arabic,Hindi,Bengali,MCQ,,,Pro
F_BAN_L011_Q107,11,History,Where is the Shaheed Minar located?,Khulna,Dhaka,Sylhet,Rajshahi,Dhaka,MCQ,,,Pro
F_BAN_L011_Q108,11,History,Which month is Victory Day celebrated?,December,January,March,June,December,MCQ,,,Pro
F_BAN_L011_Q109,11,History,Who delivered the historic 7 March Speech?,Kazi Nazrul Islam,Jasimuddin,Sheikh Mujibur Rahman,Dr Yunus,Sheikh Mujibur Rahman,MCQ,,,Pro
F_BAN_L011_Q110,11,History,Which country was Bangladesh part of before 1971?,India,Nepal,Bhutan,Pakistan,Pakistan,MCQ,,,Pro
F_BAN_L012_Q111,12,History,Which war helped Bangladesh become free?,Border War,Liberation War,World War II,Cold War,Liberation War,MCQ,,,Pro
F_BAN_L012_Q112,12,History,What does the National Martyrs Memorial honor?,Farmers,Liberation War martyrs,Sports heroes,Teachers,Liberation War martyrs,MCQ,,,Pro
F_BAN_L012_Q113,12,History,Where is the National Martyrs Memorial?,Savar,Sylhet,Rangpur,Cumilla,Savar,MCQ,,,Pro
F_BAN_L012_Q114,12,History,Which day is International Mother Language Day?,16-Dec,26-Mar,14-Apr,21-Feb,21-Feb,MCQ,,,Pro
F_BAN_L012_Q115,12,History,Why do we remember 21 February?,Language Movement remembrance,Victory Day,Harvest Day,New Year,Language Movement remembrance,MCQ,,,Pro
F_BAN_L012_Q116,12,History,What was East Pakistan later named?,Bangladesh,Nepal,India,Sri Lanka,Bangladesh,MCQ,,,Pro
F_BAN_L012_Q117,12,History,Which leader inspired people in 1971?,Atish Dipankar,Begum Rokeya,Sheikh Mujibur Rahman,Jagadish Bose,Sheikh Mujibur Rahman,MCQ,,,Pro
F_BAN_L012_Q118,12,History,Which city was central to the Language Movement?,Barishal,Dhaka,Rajshahi,Khulna,Dhaka,MCQ,,,Pro
F_BAN_L012_Q119,12,History,What does Victory Day celebrate?,School opening,Planting trees,Victory in the Liberation War,New year,Victory in the Liberation War,MCQ,,,Pro
F_BAN_L012_Q120,12,History,What do people do on Victory Day?,Plant rice,Raise the national flag,Go fishing,Build houses,Raise the national flag,MCQ,,,Pro
F_BAN_L013_Q121,13,History,Which monument honors language martyrs?,Curzon Hall,Shaheed Minar,Lalbagh Fort,Ahsan Manzil,Shaheed Minar,MCQ,,,Pro
F_BAN_L013_Q122,13,History,Who are remembered on Victory Day?,Singers,Athletes,War heroes,Shopkeepers,War heroes,MCQ,,,Pro
F_BAN_L013_Q123,13,History,Which colors are on the flag of Bangladesh?,Blue and white,Black and white,Green and red,Red and yellow,Green and red,MCQ,,,Pro
F_BAN_L013_Q124,13,History,What do we remember on Independence Day?,School games,Harvest fair,Freedom of Bangladesh,Rainy season,Freedom of Bangladesh,MCQ,,,Pro
F_BAN_L013_Q125,13,History,Which city is the capital where many historic events happened?,Cox's Bazar,Bogra,Khagrachari,Dhaka,Dhaka,MCQ,,,Pro
F_BAN_L013_Q126,13,History,In which month is Independence Day celebrated?,December,February,April,March,March,MCQ,,,Pro
F_BAN_L013_Q127,13,History,In which month is International Mother Language Day observed?,August,May,January,February,February,MCQ,,,Pro
F_BAN_L013_Q128,13,History,In which month is Victory Day celebrated?,December,October,January,November,December,MCQ,,,Pro
F_BAN_L013_Q129,13,History,Which city is home to the Shaheed Minar?,Khulna,Sylhet,Chattogram,Dhaka,Dhaka,MCQ,,,
F_BAN_L013_Q130,13,History,Which memorial honors the martyrs of the Liberation War?,Lalbagh Fort,Shaheed Minar,National Martyrs Memorial,Ahsan Manzil,National Martyrs Memorial,MCQ,,,
F_BAN_L014_Q131,14,History,Which monument honors the Language Movement martyrs?,Sixty Dome Mosque,National Parliament,Shaheed Minar,Curzon Hall,Shaheed Minar,MCQ,,,
F_BAN_L014_Q132,14,History,Which event came first in history?,Independence Day,Victory Day,Pohela Boishakh,Language Movement,Language Movement,MCQ,,,
F_BAN_L014_Q133,14,History,Which event happened in 1971?,Partition of Bengal,Liberation War,Earthquake,Language Movement,Liberation War,MCQ,,,
F_BAN_L014_Q134,14,History,Which speech inspired the people before independence?,Victory Speech,7 March Speech,Language Speech,New Year Speech,7 March Speech,MCQ,,,
F_BAN_L014_Q135,14,History,Which color is closely connected with the blood of the martyrs on the national flag?,Yellow,Red,Blue,Green,Red,MCQ,,,
F_BAN_L014_Q136,14,History,Bangladesh celebrates Victory Day every year on which date?,26-Mar,14-Apr,16-Dec,21-Feb,16-Dec,MCQ,,,
F_BAN_L014_Q137,14,History,Bangladesh celebrates Independence Day every year on which date?,16-Dec,1-Jan,21-Feb,26-Mar,26-Mar,MCQ,,,
F_BAN_L014_Q138,14,History,Which historic movement helped protect the Bengali language?,Farmers' Movement,Green Movement,Language Movement,Liberation War,Language Movement,MCQ,,,
F_BAN_L014_Q139,14,History,Which country gained independence in 1971?,Nepal,Sri Lanka,Bangladesh,Bhutan,Bangladesh,MCQ,,,
F_BAN_L014_Q140,14,History,Which leader delivered the famous 7 March speech?,Sheikh Mujibur Rahman,Dr. Muhammad Yunus,Kazi Nazrul Islam,Begum Rokeya,Sheikh Mujibur Rahman,MCQ,,,
F_BAN_L015_Q141,15,History,Why do people visit the Shaheed Minar?,To see animals,To remember language martyrs,To buy books,To watch sports,To remember language martyrs,MCQ,,,
F_BAN_L015_Q142,15,History,Why do people visit the National Martyrs Memorial?,To go shopping,To study science,To honor Liberation War martyrs,To play games,To honor Liberation War martyrs,MCQ,,,
F_BAN_L015_Q143,15,History,Which historical event is remembered on 21 February?,Language Movement,Victory Day,Independence Day,New Year,Language Movement,MCQ,,,
F_BAN_L015_Q144,15,History,Which historical event is remembered on 26 March?,Independence Day,Victory Day,Republic Day,Language Movement,Independence Day,MCQ,,,
F_BAN_L015_Q145,15,History,Which historical event is remembered on 16 December?,Language Day,Victory Day,Independence Day,Children's Day,Victory Day,MCQ,,,
F_BAN_L015_Q146,15,History,Which important value did the Liberation War help achieve?,Freedom,Rainfall,Trade,Tourism,Freedom,MCQ,,,
F_BAN_L015_Q147,15,History,Which language is honored on International Mother Language Day in Bangladesh?,Hindi,Arabic,Urdu,Bengali,Bengali,MCQ,,,
F_BAN_L015_Q148,15,History,Which city witnessed many important events during the Language Movement and Liberation War?,Rangpur,Dhaka,Cumilla,Barishal,Dhaka,MCQ,,,
F_BAN_L015_Q149,15,History,What do Bangladeshis proudly raise on Independence Day?,White Flag,Blue Flag,School Flag,National Flag,National Flag,MCQ,,,
F_BAN_L015_Q150,15,History,Which national day celebrates the success of the Liberation War?,Victory Day,Labour Day,Children's Day,Constitution Day,Victory Day,MCQ,,,
F_BAN_L016_Q151,16,General,What is the capital city of Bangladesh?,Dhaka,Sylhet,Chittagong,Khulna,Dhaka,MCQ,,,
F_BAN_L016_Q152,16,General,Which language is the national language of Bangladesh?,Nepali,Bengali,English,Hindi,Bengali,MCQ,,,
F_BAN_L016_Q153,16,General,What is the national flower of Bangladesh?,Sunflower,Rose,Water Lily,Jasmine,Water Lily,MCQ,,,
F_BAN_L016_Q154,16,General,What is the national animal of Bangladesh?,Royal Bengal Tiger,Elephant,Lion,Deer,Tiger,MCQ,,,
F_BAN_L016_Q155,16,General,What is the national bird of Bangladesh?,Crow,Eagle,Magpie Robin,Parrot,Magpie Robin,MCQ,,,
F_BAN_L016_Q156,16,General,What is the currency of Bangladesh?,Taka,Ringgit,Rupee,Dollar,Taka,MCQ,,,
F_BAN_L016_Q157,16,General,Which sea lies to the south of Bangladesh?,Arabian Sea,Black Sea,Bay of Bengal,Red Sea,Bay of Bengal,MCQ,,,
F_BAN_L016_Q158,16,General,Which river is the longest in Bangladesh?,Padma,Jamuna,Meghna,Karnaphuli,Jamuna,MCQ,,,
F_BAN_L016_Q159,16,General,When did Bangladesh gain independence?,1971,1947,1981,1965,1971,MCQ,,,
F_BAN_L016_Q160,16,General,Who is called the Father of the Nation of Bangladesh?,Ziaur Rahman,Huseyn Shaheed Suhrawardy,A K Fazlul Huq,Sheikh Mujibur Rahman,Sheikh Mujibur Rahman,MCQ,,,
F_BAN_L017_Q161,17,General,What is the national fruit of Bangladesh?,Mango,Banana,Lychee,Jackfruit,Jackfruit,MCQ,,,
F_BAN_L017_Q162,17,General,Which city is known as the port city of Bangladesh?,Dhaka,Chittagong,Rajshahi,Barisal,Chittagong,MCQ,,,
F_BAN_L017_Q163,17,General,Which division is Sylhet city in?,Dhaka,Rangpur,Sylhet,Khulna,Sylhet,MCQ,,,
F_BAN_L017_Q164,17,General,How many divisions are there in Bangladesh?,6,8,7,9,8,MCQ,,,
F_BAN_L017_Q165,17,General,What is the largest mangrove forest in Bangladesh?,Lawachara,Bhawal Forest,Sundarbans,Madhupur Forest,Sundarbans,MCQ,,,
F_BAN_L017_Q166,17,General,Which famous tiger lives in the Sundarbans?,White Tiger,Siberian Tiger,Royal Bengal Tiger,African Tiger,Royal Bengal Tiger,MCQ,,,
F_BAN_L017_Q167,17,General,What is the main crop of Bangladesh?,Rice,Corn,Wheat,Tea,Rice,MCQ,,,
F_BAN_L017_Q168,17,General,Which month is Victory Day celebrated in Bangladesh?,March,January,August,December,December,MCQ,,,
F_BAN_L017_Q169,17,General,On which date is Independence Day celebrated in Bangladesh?,26-Mar,16-Dec,14-Apr,21-Feb,26-Mar,MCQ,,,
F_BAN_L017_Q170,17,General,What is celebrated on 21 February in Bangladesh?,Pohela Boishakh,Victory Day,Language Movement Day,Children's Day,Language Movement Day,MCQ,,,
F_BAN_L018_Q171,18,General,What is the Bengali New Year festival called?,Pohela Boishakh,Durga Puja,Fruit Fair,Eid,Pohela Boishakh,MCQ,,,
F_BAN_L018_Q172,18,General,Which sport is most popular in Bangladesh?,Rugby,Tennis,Cricket,Golf,Cricket,MCQ,,,
F_BAN_L018_Q173,18,General,Which district is famous for tea gardens?,Pabna,Sylhet,Noakhali,Cumilla,Sylhet,MCQ,,,
F_BAN_L018_Q174,18,General,What is the national mosque of Bangladesh?,Baitul Mukarram,Hussaini Dalan,Sixty Dome Mosque,Star Mosque,Baitul Mukarram,MCQ,,,
F_BAN_L018_Q175,18,General,Which monument in Dhaka honors the Language Movement?,National Museum,Ahsan Manzil,Shaheed Minar,Lalbagh Fort,Shaheed Minar,MCQ,,,
F_BAN_L018_Q176,18,General,Which continent is Bangladesh in?,Europe,Africa,Australia,Asia,Asia,MCQ,,,
F_BAN_L018_Q177,18,General,Which country is to the east of Bangladesh?,Nepal,China,Bhutan,Myanmar,Myanmar,MCQ,,,
F_BAN_L018_Q178,18,General,Which country surrounds most of Bangladesh?,Sri Lanka,Nepal,India,China,India,MCQ,,,
F_BAN_L018_Q179,18,General,Which city is the capital of Chattogram Division?,Feni,Cox's Bazar,Chattogram,Cumilla,Chattogram,MCQ,,,
F_BAN_L018_Q180,18,General,Which city is famous for the world's longest natural sea beach?,Kuakata,Saint Martin,Cox's Bazar,Patuakhali,Cox's Bazar,MCQ,,,
F_BAN_L019_Q181,19,General,Which island is the only coral island in Bangladesh?,Bhola,Sandwip,Nijhum Dwip,Saint Martin's Island,Saint Martin's Island,MCQ,,,
F_BAN_L019_Q182,19,General,Which division is Khulna city in?,Dhaka,Rajshahi,Khulna,Barishal,Khulna,MCQ,,,
F_BAN_L019_Q183,19,General,Which division is Rajshahi city in?,Sylhet,Rangpur,Mymensingh,Rajshahi,Rajshahi,MCQ,,,
F_BAN_L019_Q184,19,General,Which division is Barishal city in?,Dhaka,Chattogram,Barishal,Khulna,Barishal,MCQ,,,
F_BAN_L019_Q185,19,General,Which division is Rangpur city in?,Khulna,Sylhet,Rajshahi,Rangpur,Rangpur,MCQ,,,
