id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,Subscription
F_SCI_L003_Q027,3,Plants,Which part carries water to the leaves?,Stem,Fruit,Root,Flower,Stem,MCQ,,
F_SCI_L003_Q028,3,Plants,Which of these is a tree?,Mango,Grass,Rose,,Mango,MCQ,,
F_SCI_L003_Q029,3,Plants,Which of these is a shrub?,Rose,Mango,Coconut,,Rose,MCQ,,
F_SCI_L003_Q030,3,Plants,Grass is a herb.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L003_Q031,3,Plants,Does a climber need support to grow?,Yes,No,,,Yes,MCQ,,
F_SCI_L004_Q032,4,Plants,Which plant climbs with support?,Money Plant,Banana,Sunflower,,Money Plant,MCQ,,
F_SCI_L004_Q033,4,Plants,Which plant spreads on the ground?,Pumpkin,Rose,Mango,,Pumpkin,MCQ,,
F_SCI_L004_Q034,4,Plants,Plants give us oxygen.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L004_Q035,4,Plants,Do we get fruits from plants?,Yes,No,,,Yes,MCQ,,
F_SCI_L004_Q036,4,Plants,Which of these do we get from plants?,Wood,Iron,Glass,Plastic,Wood,MCQ,,
F_SCI_L004_Q037,4,Plants,Which plant gives us cotton?,Cotton Plant,Mango Tree,Rose Bush,,Cotton Plant,MCQ,,
F_SCI_L004_Q038,4,Plants,Which of these is a vegetable?,Carrot,Stone,Chair,,Carrot,MCQ,,
F_SCI_L004_Q039,4,Plants,Plants help keep the air clean.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L004_Q040,4,Plants,Do plants provide shade?,Yes,No,,,Yes,MCQ,,
F_SCI_L004_Q041,4,Plants,Which of these is NOT a use of plants?,Making plastic,Giving oxygen,Making food for us,Providing wood,Making plastic,MCQ,,
F_SCI_L005_Q042,5,Plants,Which part of a plant holds it firmly in the soil?,Flower,Leaf,Root,Stem,Root,MCQ,,
F_SCI_L005_Q043,5,Plants,Leaves are usually _____.,Green,Blue,,,Green,MCQ,,
F_SCI_L005_Q044,5,Plants,Flowers grow into fruits.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L005_Q045,5,Plants,Most plants have roots.,Yes,No,,,Yes,MCQ,,
F_SCI_L005_Q046,5,Plants,Which part of a plant has seeds inside?,Fruit,Leaf,Root,,Fruit,MCQ,,
F_SCI_L005_Q047,5,Plants,Which part supports the plant above the ground?,Stem,Root,Seed,,Stem,MCQ,,
F_SCI_L005_Q048,5,Plants,Which of these is a herb?,Mint,Mango,Rose,,Mint,MCQ,,
F_SCI_L005_Q049,5,Plants,Which of these is a climber?,Grape Vine,Coconut Tree,Grass,,Grape Vine,MCQ,,
F_SCI_L005_Q050,5,Plants,A banyan is a tree.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L005_Q051,5,Plants,Match the plant part with its job,,,,,,Match,"[{""left"":""Root"",""right"":""Absorbs Water""},{""left"":""Stem"",""right"":""Supports Plant""},{""left"":""Leaf"",""right"":""Makes Food""},{""left"":""Flower"",""right"":""Makes Seeds""}]",
F_SCI_L006_Q052,6,Plants,Which of these is a creeper?,Watermelon,Rose,Money Plant,,Watermelon,MCQ,,
F_SCI_L006_Q053,6,Plants,Which plant has a hard woody trunk?,Shrub,Tree,Herb,,Tree,MCQ,,
F_SCI_L006_Q054,6,Plants,Which of these is a spice from a plant?,Pepper,Plastic,Glass,,Pepper,MCQ,,
F_SCI_L006_Q055,6,Plants,We get paper from plants.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L006_Q056,6,Plants,Do plants give us medicines?,Yes,No,,,Yes,MCQ,,
F_SCI_L006_Q057,6,Plants,Which of these do we drink from plants?,Fruit Juice,Ink,Oil Paint,,Fruit Juice,MCQ,,
F_SCI_L006_Q058,6,Plants,Which of these is made from wood?,Stone,Table,Bottle,Water,Table,MCQ,,
F_SCI_L006_Q059,6,Plants,Plants are important because they give us food.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L006_Q060,6,Plants,Do birds build nests in trees?,Yes,No,,,Yes,MCQ,,
F_SCI_L006_Q061,6,Plants,Match the plant with its type,,,,,,Match,"[{""left"":""Rose"",""right"":""Shrub""},{""left"":""Mango"",""right"":""Tree""},{""left"":""Grass"",""right"":""Grass""},{""left"":""Money Plant"",""right"":""Climber""}]",
F_SCI_L007_Q062,7,Animals,,,,,,,Lesson,Science/animals.md,
F_SCI_L007_Q063,7,Animals,Which of these is an animal?,Dog,Book,Table,Chair,Dog,MCQ,,
F_SCI_L007_Q064,7,Animals,A fish is an animal.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L007_Q065,7,Animals,Can most birds fly?,Yes,No,,,Yes,MCQ,,
F_SCI_L007_Q066,7,Animals,"Which animal says ""Meow""?",Cat,Cow,Duck,,Cat,MCQ,,
F_SCI_L007_Q067,7,Animals,Which animal barks?,Dog,Cat,Horse,,Dog,MCQ,,
F_SCI_L007_Q068,7,Animals,Which animal gives us milk?,Monkey,Tiger,Lion,Cow,Cow,MCQ,,
F_SCI_L007_Q069,7,Animals,Which animal lives in water?,Dog,Cat,Fish,Camel,Fish,MCQ,,
F_SCI_L007_Q070,7,Animals,Which animal has feathers?,Goat,Cow,Hen,Dog,Hen,MCQ,,
F_SCI_L007_Q071,7,Animals,Birds have wings.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L007_Q072,7,Animals,Do fish have fins?,Yes,No,,,Yes,MCQ,,
F_SCI_L008_Q073,8,Animals,Where does a fish live?,Tree,Water,Nest,Den,Water,MCQ,,
F_SCI_L008_Q074,8,Animals,Where does a bird live?,Cave,Pond,House,Nest,Nest,MCQ,,
F_SCI_L008_Q075,8,Animals,A lion lives in a den.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L008_Q076,8,Animals,Do rabbits live in burrows?,Yes,No,,,Yes,MCQ,,
F_SCI_L008_Q077,8,Animals,Which animal lives on a farm?,Whale,Eagle,Goat,Shark,Goat,MCQ,,
F_SCI_L008_Q078,8,Animals,Which animal lives in the sea?,Cat,Horse,Cow,Whale,Whale,MCQ,,
F_SCI_L008_Q079,8,Animals,Can a camel live in the desert?,Yes,No,,,Yes,MCQ,,
F_SCI_L008_Q080,8,Animals,Which animal has a long neck?,Dog,Giraffe,Cat,Goat,Giraffe,MCQ,,
F_SCI_L008_Q081,8,Animals,Which animal has a shell?,Lion,Monkey,Turtle,Horse,Turtle,MCQ,,
F_SCI_L008_Q082,8,Animals,Which animal lays eggs?,Cat,Hen,Dog,Cow,Hen,MCQ,,
F_SCI_L009_Q083,9,Animals,Which animal has a long tail?,Hen,Monkey,Duck,Fish,Monkey,MCQ,,
F_SCI_L009_Q084,9,Animals,Can a duck swim?,Yes,No,,,Yes,MCQ,,
F_SCI_L009_Q085,9,Animals,Which animal can hop?,Rabbit,Camel,Horse,Cow,Rabbit,MCQ,,
F_SCI_L009_Q086,9,Animals,Do birds build nests?,Yes,No,,,Yes,MCQ,,
F_SCI_L009_Q087,9,Animals,Match the animal with its home,,,,,,Match,"[{""left"":""Bird"",""right"":""Nest""},{""left"":""Dog"",""right"":""Kennel""},{""left"":""Horse"",""right"":""Stable""},{""left"":""Bee"",""right"":""Hive""}]",
F_SCI_L009_Q088,9,Animals,Which animal gives us eggs?,Horse,Goat,Cow,Hen,Hen,MCQ,,
F_SCI_L009_Q089,9,Animals,Which animal gives us wool?,Sheep,Cat,Dog,Duck,Sheep,MCQ,,
F_SCI_L009_Q090,9,Animals,Which animal helps us carry heavy loads?,Rabbit,Cat,Hen,Donkey,Donkey,MCQ,,
F_SCI_L009_Q091,9,Animals,Cows eat grass.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L009_Q092,9,Animals,Do goats eat grass?,Yes,No,,,Yes,MCQ,,
F_SCI_L010_Q093,10,Animals,Which animal eats meat?,Cow,Deer,Goat,Lion,Lion,MCQ,,
F_SCI_L010_Q094,10,Animals,Lions eat meat.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L010_Q095,10,Animals,Which animal likes bananas?,Monkey,Duck,Fish,Cow,Monkey,MCQ,,
F_SCI_L010_Q096,10,Animals,Rabbits like carrots.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L010_Q097,10,Animals,Which animal likes to eat grass?,Cow,Eagle,Cat,Tiger,Cow,MCQ,,
F_SCI_L010_Q098,10,Animals,Can fish swim?,Yes,No,,,Yes,MCQ,,
F_SCI_L010_Q099,10,Animals,Can a horse run fast?,Yes,No,,,Yes,MCQ,,
F_SCI_L010_Q100,10,Animals,Which animal can climb trees?,Monkey,Goat,Cow,Fish,Monkey,MCQ,,
F_SCI_L010_Q101,10,Animals,Which bird can swim?,Duck,Crow,Pigeon,Sparrow,Duck,MCQ,,
F_SCI_L010_Q102,10,Animals,Ducks have webbed feet.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L011_Q103,11,Animals,Why do ducks have webbed feet?,To fly,To dig,To swim,To climb,To swim,MCQ,,
F_SCI_L011_Q104,11,Animals,Which animal has a hump?,Camel,Cow,Horse,Goat,Camel,MCQ,,
F_SCI_L011_Q105,11,Animals,Camels live in the desert.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L011_Q106,11,Animals,Which animal has black and white stripes?,Tiger,Zebra,Goat,Cow,Zebra,MCQ,,
F_SCI_L011_Q107,11,Animals,Which animal has spots?,Horse,Goat,Leopard,Cow,Leopard,MCQ,,
F_SCI_L011_Q108,11,Animals,Which animal has a long trunk?,Cat,Elephant,Lion,Dog,Elephant,MCQ,,
F_SCI_L011_Q109,11,Animals,Elephants have big ears.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L011_Q110,11,Animals,Which animal has sharp teeth?,Rabbit,Cow,Goat,Tiger,Tiger,MCQ,,
F_SCI_L011_Q111,11,Animals,Can birds sing?,Yes,No,,,Yes,MCQ,,
F_SCI_L011_Q112,11,Animals,Match the animal with its food,,,,,,Match,"[{""left"":""Cow"",""right"":""Grass""},{""left"":""Rabbit"",""right"":""Carrot""},{""left"":""Monkey"",""right"":""Banana""},{""left"":""Lion"",""right"":""Meat""}]",
F_SCI_L012_Q113,12,Animals,Which animal has a long beak?,Cat,Goat,Heron,Cow,Heron,MCQ,,
F_SCI_L012_Q114,12,Animals,Which animal can fly high in the sky?,Eagle,Rabbit,Goat,Fish,Eagle,MCQ,,
F_SCI_L012_Q115,12,Animals,Can an eagle fly?,Yes,No,,,Yes,MCQ,,
F_SCI_L012_Q116,12,Animals,Which animal has colorful feathers?,Horse,Peacock,Goat,Cow,Peacock,MCQ,,
F_SCI_L012_Q117,12,Animals,A peacock has beautiful feathers.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L012_Q118,12,Animals,"Which bird says ""Quack""?",Pigeon,Crow,Duck,Hen,Duck,MCQ,,
F_SCI_L012_Q119,12,Animals,"Which bird says ""Cuckoo""?",Duck,Pigeon,Sparrow,Cuckoo,Cuckoo,MCQ,,
F_SCI_L012_Q120,12,Animals,"Which bird says ""Caw""?",Crow,Hen,Duck,Parrot,Crow,MCQ,,
F_SCI_L012_Q121,12,Animals,Can a penguin swim?,Yes,No,,,Yes,MCQ,,
F_SCI_L012_Q122,12,Animals,Penguins live in very cold places.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L013_Q123,13,Animals,Which animal has thick fur?,Camel,Horse,Polar Bear,Cow,Polar Bear,MCQ,,
F_SCI_L013_Q124,13,Animals,Can a polar bear stay warm with its thick fur?,Yes,No,,,Yes,MCQ,,
F_SCI_L013_Q125,13,Animals,Which animal changes its colour to hide?,Goat,Chameleon,Cow,Horse,Chameleon,MCQ,,
F_SCI_L013_Q126,13,Animals,A chameleon can change its colour.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L013_Q127,13,Animals,Which animal moves by slithering?,Cow,Horse,Dog,Snake,Snake,MCQ,,
F_SCI_L013_Q128,13,Animals,Do snakes have legs?,Yes,No,,,No,MCQ,,
F_SCI_L013_Q129,13,Animals,Which animal spins a web?,Spider,Butterfly,Goat,Cow,Spider,MCQ,,
F_SCI_L013_Q130,13,Animals,Can a snail hide inside its shell?,Yes,No,,,Yes,MCQ,,
F_SCI_L013_Q131,13,Animals,Which animal has a hard shell?,Dog,Cat,Turtle,Rabbit,Turtle,MCQ,,
F_SCI_L013_Q132,13,Animals,Porcupines have sharp quills.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L014_Q133,14,Animals,Which animal has sharp quills?,Horse,Elephant,Cow,Porcupine,Porcupine,MCQ,,
F_SCI_L014_Q134,14,Animals,Which animal lives in the forest?,Tiger,Cow,Goat,Duck,Tiger,MCQ,,
F_SCI_L014_Q135,14,Animals,Which animal lives in our home as a pet?,Lion,Cat,Deer,Elephant,Cat,MCQ,,
F_SCI_L014_Q136,14,Animals,Do dogs make good pets?,Yes,No,,,Yes,MCQ,,
F_SCI_L014_Q137,14,Animals,Match the animal with its body part,,,,,,Match,"[{""left"":""Bird"",""right"":""Wings""},{""left"":""Fish"",""right"":""Fins""},{""left"":""Elephant"",""right"":""Trunk""},{""left"":""Turtle"",""right"":""Shell""}]",
F_SCI_L014_Q138,14,Animals,Which animal can pull a cart?,Rabbit,Horse,Cat,Duck,Horse,MCQ,,
F_SCI_L014_Q139,14,Animals,Which animal helps guard our house?,Goat,Cow,Dog,Hen,Dog,MCQ,,
F_SCI_L014_Q140,14,Animals,Which animal gives us honey?,Spider,Bee,Butterfly,Ant,Bee,MCQ,,
F_SCI_L014_Q141,14,Animals,Bees make honey.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L014_Q142,14,Animals,Which animal has two horns?,Duck,Cat,Goat,Hen,Goat,MCQ,,
F_SCI_L015_Q143,15,Animals,Cows have four legs.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L015_Q144,15,Animals,Which animal has four legs?,Horse,Hen,Duck,Eagle,Horse,MCQ,,
F_SCI_L015_Q145,15,Animals,Which animal can jump from tree to tree?,Cow,Monkey,Goat,Fish,Monkey,MCQ,,
F_SCI_L015_Q146,15,Animals,Can fish live without water?,Yes,No,,,No,MCQ,,
F_SCI_L015_Q147,15,Animals,Do birds have beaks?,Yes,No,,,Yes,MCQ,,
F_SCI_L015_Q148,15,Animals,Which animal has a beak?,Dog,Cow,Cat,Parrot,Parrot,MCQ,,
F_SCI_L015_Q149,15,Animals,Which animal has fins?,Horse,Cat,Fish,Goat,Fish,MCQ,,
F_SCI_L015_Q150,15,Animals,Fish use fins to swim.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L015_Q151,15,Animals,Which animal has wings?,Goat,Horse,Cow,Butterfly,Butterfly,MCQ,,
F_SCI_L015_Q152,15,Animals,Can butterflies fly?,Yes,No,,,Yes,MCQ,,
F_SCI_L016_Q153,16,Animals,Which animal works hard to carry loads?,Hen,Donkey,Cat,Rabbit,Donkey,MCQ,,
F_SCI_L016_Q154,16,Animals,Which animal lives in a kennel?,Cat,Dog,Horse,Cow,Dog,MCQ,,
F_SCI_L016_Q155,16,Animals,Which animal lives in a stable?,Duck,Fish,Horse,Goat,Horse,MCQ,,
F_SCI_L016_Q156,16,Animals,Which animal lives in a hive?,Cat,Sparrow,Rabbit,Bee,Bee,MCQ,,
F_SCI_L016_Q157,16,Animals,Which animal lives in water?,Hen,Goat,Fish,Horse,Fish,MCQ,,
F_SCI_L016_Q158,16,Animals,Which animal is a pet?,Tiger,Elephant,Dog,Deer,Dog,MCQ,,
F_SCI_L016_Q159,16,Animals,Which animal is wild?,Goat,Horse,Cow,Tiger,Tiger,MCQ,,
F_SCI_L016_Q160,16,Animals,Wild animals live in forests.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L016_Q161,16,Animals,Do we keep lions as pets?,Yes,No,,,No,MCQ,,
F_SCI_L016_Q162,16,Animals,Match the animal with its baby,,,,,,Match,"[{""left"":""Cat"",""right"":""Kitten""},{""left"":""Dog"",""right"":""Puppy""},{""left"":""Cow"",""right"":""Calf""},{""left"":""Hen"",""right"":""Chick""}]",
F_SCI_L017_Q163,17,Human Body,,,,,,,Lesson,Science/human_body.md,
F_SCI_L017_Q164,17,Human Body,Which body part do you use to see?,Eyes,Ears,Nose,,Eyes,MCQ,,
F_SCI_L017_Q165,17,Human Body,We have two hands.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L017_Q166,17,Human Body,Do you walk with your legs?,Yes,No,,,Yes,MCQ,,
F_SCI_L017_Q167,17,Human Body,Which body part helps you hear?,Ears,Eyes,Mouth,,Ears,MCQ,,
F_SCI_L017_Q168,17,Human Body,Which body part is used to smell?,Nose,Foot,Hand,Tongue,Nose,MCQ,,
F_SCI_L017_Q169,17,Human Body,We use our mouth to eat food.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L017_Q170,17,Human Body,Do you have ten fingers?,Yes,No,,,Yes,MCQ,,
F_SCI_L017_Q171,17,Human Body,Which body part is on top of your neck?,Head,Foot,Hand,,Head,MCQ,,
F_SCI_L017_Q172,17,Human Body,Which body part helps you hold a pencil?,Ear,Nose,Hand,Eye,Hand,MCQ,,
F_SCI_L017_Q173,17,Human Body,Match the body part with its use,,,,,,Match,"[{""left"":""Eyes"",""right"":""See""},{""left"":""Ears"",""right"":""Hear""},{""left"":""Nose"",""right"":""Smell""},{""left"":""Tongue"",""right"":""Taste""}]",
F_SCI_L018_Q174,18,Human Body,Which body part helps you taste food?,Tongue,Nose,Ears,,Tongue,MCQ,,
F_SCI_L018_Q175,18,Human Body,Our eyes help us see.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L018_Q176,18,Human Body,Can you hear with your ears?,Yes,No,,,Yes,MCQ,,
F_SCI_L018_Q177,18,Human Body,Which body part helps you smell a flower?,Nose,Hand,Foot,,Nose,MCQ,,
F_SCI_L018_Q178,18,Human Body,Which body part helps you feel hot and cold?,Tongue,Eyes,Skin,Ears,Skin,MCQ,,
F_SCI_L018_Q179,18,Human Body,The tongue helps us taste food.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L018_Q180,18,Human Body,Do your eyes help you read a book?,Yes,No,,,Yes,MCQ,,
F_SCI_L018_Q181,18,Human Body,Which body part helps you bite an apple?,Teeth,Hair,Nose,,Teeth,MCQ,,
F_SCI_L018_Q182,18,Human Body,Which body part helps you pick up a toy?,Ears,Hands,Eyes,Feet,Hands,MCQ,,
F_SCI_L018_Q183,18,Human Body,Which body part helps you walk and run?,Tongue,Legs,Hands,Nose,Legs,MCQ,,
F_SCI_L019_Q184,19,Human Body,Which organ helps you think?,Brain,Heart,Lungs,,Brain,MCQ,,
F_SCI_L019_Q185,19,Human Body,The heart pumps blood around the body.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L019_Q186,19,Human Body,Do your lungs help you breathe?,Yes,No,,,Yes,MCQ,,
F_SCI_L019_Q187,19,Human Body,Which part gives your body support?,Bones,Hair,Nails,,Bones,MCQ,,
F_SCI_L019_Q188,19,Human Body,Which body part helps you throw a ball?,Hands,Eyes,Foot,Teeth,Hands,MCQ,,
F_SCI_L019_Q189,19,Human Body,The brain is inside your head.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L019_Q190,19,Human Body,Can you live without breathing?,Yes,No,,,No,MCQ,,
F_SCI_L019_Q191,19,Human Body,Which organ beats all day and night?,Heart,Liver,Brain,,Heart,MCQ,,
F_SCI_L019_Q192,19,Human Body,Bones make your body strong.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L019_Q193,19,Human Body,Which organ helps you breathe?,Brain,Lungs,Heart,Stomach,Lungs,MCQ,,
F_SCI_L020_Q194,20,Human Body,Which food is healthy?,Apple,Candy,Chips,,Apple,MCQ,,
F_SCI_L020_Q195,20,Human Body,Eating fruits helps you stay healthy.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L020_Q196,20,Human Body,Should you drink plenty of water every day?,Yes,No,,,Yes,MCQ,,
F_SCI_L020_Q197,20,Human Body,Which drink is the healthiest?,Water,Soft Drink,Energy Drink,,Water,MCQ,,
F_SCI_L020_Q198,20,Human Body,Which food helps your body grow strong?,Cake,Candy,Ice Cream,Vegetables,Vegetables,MCQ,,
F_SCI_L020_Q199,20,Human Body,You should eat breakfast every day.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L020_Q200,20,Human Body,Match the healthy habit with its benefit,,,,,,Match,"[{""left"":""Brush Teeth"",""right"":""Clean Teeth""},{""left"":""Exercise"",""right"":""Strong Body""},{""left"":""Sleep Well"",""right"":""Healthy Mind""},{""left"":""Wash Hands"",""right"":""Remove Germs""}]",
F_SCI_L020_Q201,20,Human Body,Which food should you eat more often?,Fruits,Chocolate,Cookies,,Fruits,MCQ,,
F_SCI_L020_Q202,20,Human Body,Too much junk food is unhealthy.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L020_Q203,20,Human Body,Which of these is NOT a healthy habit?,Eating vegetables,Getting enough sleep,Drinking water,Skipping meals,Skipping meals,MCQ,,
F_SCI_L021_Q204,21,Human Body,Which activity is good exercise?,Running,Watching TV,Sleeping,,Running,MCQ,,
F_SCI_L021_Q205,21,Human Body,Exercise helps keep our body strong.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L021_Q206,21,Human Body,Should you exercise every day?,Yes,No,,,Yes,MCQ,,
F_SCI_L021_Q207,21,Human Body,Which activity keeps your heart healthy?,Cycling,Eating Candy,Playing Video Games,,Cycling,MCQ,,
F_SCI_L021_Q208,21,Human Body,Which of these is a fun way to exercise?,Watching TV,Sitting on a Chair,Playing Football,Reading a Book,Playing Football,MCQ,,
F_SCI_L021_Q209,21,Human Body,Walking is a good form of exercise.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L021_Q210,21,Human Body,Is stretching good for your body?,Yes,No,,,Yes,MCQ,,
F_SCI_L021_Q211,21,Human Body,Which activity helps strengthen your muscles?,Jumping Rope,Sleeping,Watching Cartoons,,Jumping Rope,MCQ,,
F_SCI_L021_Q212,21,Human Body,Playing outside helps keep you active.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L021_Q213,21,Human Body,Which activity is NOT exercise?,Running,Dancing,Swimming,Watching TV,Watching TV,MCQ,,
F_SCI_L022_Q214,22,Human Body,When should you wash your hands?,Before eating,After playing,Both of these,,Both of these,MCQ,,
F_SCI_L022_Q215,22,Human Body,Brushing your teeth twice a day keeps them healthy.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L022_Q216,22,Human Body,Should you take a bath regularly?,Yes,No,,,Yes,MCQ,,
F_SCI_L022_Q217,22,Human Body,Which item should you use to wash your hands?,Soap,Paint,Glue,,Soap,MCQ,,
F_SCI_L022_Q218,22,Human Body,Which of these helps prevent germs from spreading?,Touching your face,Sharing used tissues,Not washing hands,Covering your mouth when coughing,Covering your mouth when coughing,MCQ,,
F_SCI_L022_Q219,22,Human Body,You should keep your fingernails clean and trimmed.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L022_Q220,22,Human Body,Should you wear clean clothes every day?,Yes,No,,,Yes,MCQ,,
F_SCI_L022_Q221,22,Human Body,What should you do before eating fruits?,Wash them,Throw them away,Paint them,,Wash them,MCQ,,
F_SCI_L022_Q222,22,Human Body,Keeping your classroom and home clean helps you stay healthy.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L022_Q223,22,Human Body,Which of these is a healthy habit?,Eating Dirty Food,Washing Hands,Not Brushing Teeth,Skipping Baths,Washing Hands,MCQ,,
F_SCI_L023_Q224,23,Objects Around Us,,,,,,,Lesson,Science/objects_around_us.md,
F_SCI_L023_Q225,23,Objects Around Us,Which of these can you hold in your hand?,Book,Water,Air,,Book,MCQ,,
F_SCI_L023_Q226,23,Objects Around Us,A chair is an object.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L023_Q227,23,Objects Around Us,Can you hold a pencil?,Yes,No,,,Yes,MCQ,,
F_SCI_L023_Q228,23,Objects Around Us,Which of these is an object?,Ball,Smoke,Air,,Ball,MCQ,,
F_SCI_L023_Q229,23,Objects Around Us,Which of these is NOT an object?,Book,Chair,Table,Air,Air,MCQ,,
F_SCI_L023_Q230,23,Objects Around Us,A book keeps its shape.,TRUE,FALSE,,,TRUE,MCQ,,
F_SCI_L023_Q231,23,Objects Around Us,Can you kick a ball?,Yes,No,,,Yes,MCQ,,
