Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData,Subscription
F_ENG_L003_Q022,3,Vocabulary : Beginner,Match the synonyms.,,,,,,Match,"[{""left"":""Happy"",""right"":""Glad""},{""left"":""Big"",""right"":""Large""},{""left"":""Small"",""right"":""Tiny""},{""left"":""Fast"",""right"":""Quick""}]",
F_ENG_L003_Q023,3,Vocabulary : Beginner,Choose the correct meaning of empty.,Full,Nothing inside,Heavy,Sweet,Nothing inside,MCQ,,
F_ENG_L003_Q024,3,Vocabulary : Beginner,Choose the word related to reading.,Book,Shoe,Plate,Spoon,Book,MCQ,,
F_ENG_L003_Q025,3,Vocabulary : Beginner,Choose the word related to writing.,Bottle,Window,Pillow,Pencil,Pencil,MCQ,,
F_ENG_L003_Q026,3,Vocabulary : Beginner,Choose the synonym of happy.,Glad,Angry,Sad,Tired,Glad,MCQ,,
F_ENG_L003_Q027,3,Vocabulary : Beginner,Choose the synonym of big.,Large,Little,Tiny,Short,Large,MCQ,,
F_ENG_L003_Q028,3,Vocabulary : Beginner,Choose the synonym of begin.,Close,End,Stop,Start,Start,MCQ,,
F_ENG_L003_Q029,3,Vocabulary : Beginner,Choose the synonym of smart.,Dull,Weak,Lazy,Clever,Clever,MCQ,,
F_ENG_L003_Q030,3,Vocabulary : Beginner,Match the antonyms.,,,,,,Match,"[{""left"":""Hot"",""right"":""Cold""},{""left"":""Up"",""right"":""Down""},{""left"":""Open"",""right"":""Close""},{""left"":""Day"",""right"":""Night""}]",
F_ENG_L004_Q031,4,Vocabulary : Beginner,Choose the antonym of hot.,Bright,Cold,Sharp,Warm,Cold,MCQ,,
F_ENG_L004_Q032,4,Vocabulary : Beginner,Choose the antonym of tall.,Long,Short,High,Wide,Short,MCQ,,
F_ENG_L004_Q033,4,Vocabulary : Beginner,Choose the antonym of clean.,Fresh,Dirty,White,Clear,Dirty,MCQ,,
F_ENG_L004_Q034,4,Vocabulary : Beginner,Choose the antonym of open.,Close,Wide,Start,Loose,Close,MCQ,,
F_ENG_L004_Q035,4,Vocabulary : Beginner,Choose the antonym of early.,Fast,Quick,Soon,Late,Late,MCQ,,
F_ENG_L004_Q036,4,Vocabulary : Beginner,Choose the synonym of brave.,Sad,Courageous,Weak,Cowardly,Courageous,MCQ,,
F_ENG_L004_Q037,4,Vocabulary : Beginner,Choose the antonym of noisy.,Loud,Quiet,Bright,Busy,Quiet,MCQ,,
F_ENG_L004_Q038,4,Vocabulary : Beginner,Choose the synonym of tiny.,Small,Tall,Long,Huge,Small,MCQ,,
F_ENG_L004_Q039,4,Vocabulary : Beginner,Choose the antonym of rich.,Poor,Happy,Wealthy,Strong,Poor,MCQ,,
F_ENG_L004_Q040,4,Vocabulary : Beginner,Match the antonyms.,,,,,,Match,"[{""left"":""Old"",""right"":""Young""},{""left"":""Full"",""right"":""Empty""},{""left"":""Heavy"",""right"":""Light""},{""left"":""Happy"",""right"":""Sad""}]",
F_ENG_L005_Q041,5,Vocabulary : Beginner,Choose the antonym of fast.,Sharp,Early,Slow,Quick,Slow,MCQ,,
F_ENG_L005_Q042,5,Vocabulary : Beginner,Choose the synonym of beautiful.,Ugly,Plain,Pretty,Dirty,Pretty,MCQ,,
F_ENG_L005_Q043,5,Vocabulary : Beginner,Choose the antonym of full.,Tall,Wide,Heavy,Empty,Empty,MCQ,,
F_ENG_L005_Q044,5,Vocabulary : Beginner,Choose the synonym of silent.,Busy,Loud,Quiet,Rough,Quiet,MCQ,,
F_ENG_L005_Q045,5,Vocabulary : Beginner,Choose the antonym of strong.,Weak,Tough,Brave,Hard,Weak,MCQ,,
F_ENG_L005_Q046,5,Vocabulary : Beginner,Choose the synonym of old.,Fresh,New,Ancient,Young,Ancient,MCQ,,
F_ENG_L005_Q047,5,Vocabulary : Beginner,Choose the antonym of near.,Close,Far,By,At,Far,MCQ,,
F_ENG_L005_Q048,5,Vocabulary : Beginner,Choose the synonym of help.,Push,Assist,Hurt,Stop,Assist,MCQ,,
F_ENG_L005_Q049,5,Vocabulary : Beginner,Choose the antonym of light.,Bright,Dark,Clear,Shiny,Dark,MCQ,,
F_ENG_L005_Q050,5,Vocabulary : Beginner,Match the synonyms and antonyms.,,,,,,Match,"[{""left"":""Rich"",""right"":""Wealthy""},{""left"":""Silent"",""right"":""Quiet""},{""left"":""Early"",""right"":""Late""},{""left"":""Clean"",""right"":""Dirty""}]",
F_ENG_L006_Q051,6,,,,,,,,Lesson,English/noun.md,
F_ENG_L006_Q052,6,Naming Words,Which word is the name of a city?,tiger,Dhaka,school,book,Dhaka,MCQ,,
F_ENG_L006_Q053,6,Naming Words,Which word is a person's name?,Rahim,boy,school,chair,Rahim,MCQ,,
F_ENG_L006_Q054,6,Naming Words,Which word is the name of a country?,Bangladesh,river,apple,teacher,Bangladesh,MCQ,,
F_ENG_L006_Q055,6,Naming Words,Which word is the name of a girl?,Mina,cat,table,park,Mina,MCQ,,
F_ENG_L006_Q056,6,Naming Words,Which word is the name of a boy?,Karim,bird,school,tree,Karim,MCQ,,
F_ENG_L006_Q057,6,Naming Words,Which word is the name of a river?,Padma,book,doctor,bicycle,Padma,MCQ,,
F_ENG_L006_Q058,6,Naming Words,Which word is the name of a school?,Sunrise School,lion,banana,bus,Sunrise School,MCQ,,
F_ENG_L006_Q059,6,Naming Words,Which word is the name of a day?,Monday,teacher,apple,garden,Monday,MCQ,,
F_ENG_L006_Q060,6,Naming Words,Which word is the name of a month?,July,rabbit,table,flower,July,MCQ,,
F_ENG_L006_Q061,6,Naming Words,Which word is the name of a planet?,Earth,pencil,farmer,hospital,Earth,MCQ,,
F_ENG_L007_Q062,7,Naming Words,Which word is a Noun (Naming Word)?,apple,quickly,happy,run,apple,MCQ,,
F_ENG_L007_Q063,7,Naming Words,Which word is a Noun (Naming Word)?,jump,blue,school,sing,school,MCQ,,
F_ENG_L007_Q064,7,Naming Words,Which word is a Noun (Naming Word)?,cat,fast,swim,beautiful,cat,MCQ,,
F_ENG_L007_Q065,7,Naming Words,Which word is a Noun (Naming Word)?,teacher,kind,read,slowly,teacher,MCQ,,
F_ENG_L007_Q066,7,Naming Words,Which word is a Noun (Naming Word)?,dance,loudly,strong,book,book,MCQ,,
F_ENG_L007_Q067,7,Naming Words,The _________ is barking loudly. (Noun),quickly,dog,run,happy,dog,MCQ,,
F_ENG_L007_Q068,7,Naming Words,I read a _________ before bedtime. (Noun),book,sing,blue,jump,book,MCQ,,
F_ENG_L007_Q069,7,Naming Words,We visited the _________ on Sunday. (Noun),play,nice,park,fast,park,MCQ,,
F_ENG_L007_Q070,7,Naming Words,The _________ shines at night. (Noun),swim,run,moon,brightly,moon,MCQ,,
F_ENG_L007_Q071,7,Naming Words,My sister has a pet _________. (Noun),kind,quickly,rabbit,jump,rabbit,MCQ,,
F_ENG_L008_Q072,8,Naming Words,"Pick out the Naming Word: ""The boy is running.""",fast,ran,kicked,boy,boy,MCQ,,
F_ENG_L008_Q073,8,Naming Words,"Pick out the Naming Word: ""The bird is flying.""",flew,quickly,over,bird,bird,MCQ,,
F_ENG_L008_Q074,8,Naming Words,"Pick out the Naming Word: ""The teacher smiled.""",wrote,teacher,neatly,on,teacher,MCQ,,
F_ENG_L008_Q075,8,Naming Words,"Pick out the Naming Word: ""The baby is sleeping.""",baby,quietly,sleeping,is,baby,MCQ,,
F_ENG_L008_Q076,8,Naming Words,"Which two words are naming words: ""The farmer works in the field.""",works & field,farmer & works,field & works,farmer & field,farmer & field,MCQ,,
F_ENG_L008_Q077,8,Naming Words,Which word names a place?,run,jump,Dhaka,happy,Dhaka,MCQ,,
F_ENG_L008_Q078,8,Naming Words,Which word names a person?,blue,teacher,write,swim,teacher,MCQ,,
F_ENG_L008_Q079,8,Naming Words,Which word names an animal?,jump,fast,kind,tiger,tiger,MCQ,,
F_ENG_L008_Q080,8,Naming Words,Which word names a thing?,run,play,loudly,pencil,pencil,MCQ,,
F_ENG_L008_Q081,8,Naming Words,A noun is a _________ word.,doing,describing,joining,naming,naming,MCQ,,
F_ENG_L009_Q082,9,Naming Words,Which word is NOT a Noun?,teacher,school,run,book,run,MCQ,,
F_ENG_L009_Q083,9,Naming Words,Which word is NOT a Noun?,happy,cat,tree,boy,happy,MCQ,,
F_ENG_L009_Q084,9,Naming Words,Which word is a Naming Word?,car,sing,beautiful,quickly,car,MCQ,,
F_ENG_L009_Q085,9,Naming Words,Which word is a Naming Word?,elephant,kind,slowly,jump,elephant,MCQ,,
F_ENG_L009_Q086,9,Naming Words,Which word is a Naming Word?,hospital,run,blue,write,hospital,MCQ,,
F_ENG_L009_Q087,9,Naming Words,Which word is a Noun (Naming Word)?,hospital,sing,happy,quickly,hospital,MCQ,,
F_ENG_L009_Q088,9,Naming Words,Which word is a Noun (Naming Word)?,jump,run,elephant,blue,elephant,MCQ,,
F_ENG_L009_Q089,9,Naming Words,Which word is a Noun (Naming Word)?,bicycle,swim,slowly,kind,bicycle,MCQ,,
F_ENG_L009_Q090,9,Naming Words,Which word is a Noun (Naming Word)?,write,garden,loudly,fast,garden,MCQ,,
F_ENG_L009_Q091,9,Naming Words,Which word is a Noun (Naming Word)?,computer,beautiful,dance,quickly,computer,MCQ,,
F_ENG_L010_Q092,10,Naming Words,The _________ rang loudly at the end of class. (Noun),bell,happy,run,jump,bell,MCQ,,
F_ENG_L010_Q093,10,Naming Words,We crossed the _________ to reach the village. (Noun),sing,kind,bridge,slowly,bridge,MCQ,,
F_ENG_L010_Q094,10,Naming Words,The _________ carried our books to school. (Noun),fast,bag,blue,play,bag,MCQ,,
F_ENG_L010_Q095,10,Naming Words,I saw a _________ in the zoo. (Noun),happy,quickly,giraffe,run,giraffe,MCQ,,
F_ENG_L010_Q096,10,Naming Words,The _________ stopped at the station. (Noun),kind,train,jump,loudly,train,MCQ,,
F_ENG_L010_Q097,10,Naming Words,"Pick out the Naming Word: ""The girl drew a picture.""",beautifully,drew,girl,a,girl,MCQ,,
F_ENG_L010_Q098,10,Naming Words,"Pick out the Naming Word: ""The lion slept under a tree.""",slept,quietly,lion,under,lion,MCQ,,
F_ENG_L010_Q099,10,Naming Words,"Pick out the Naming Word: ""The doctor helped the patient.""",doctor,helped,carefully,the,doctor,MCQ,,
F_ENG_L010_Q100,10,Naming Words,"Pick out the Naming Word: ""The children played in the playground.""",children,in,happily,played,children,MCQ,,
F_ENG_L010_Q101,10,Naming Words,"Which two words are naming words: ""The ship sailed across the sea.""",ship & sea,sailed & across,ship & sailed,sailed & sea,ship & sea,MCQ,,
F_ENG_L011_Q102,11,Naming Words,Which word names a place?,run,jump,city,kind,city,MCQ,,
F_ENG_L011_Q103,11,Naming Words,Which word names a person?,blue,nurse,write,quickly,nurse,MCQ,,
F_ENG_L011_Q104,11,Naming Words,Which word names an animal?,slowly,zebra,play,happy,zebra,MCQ,,
F_ENG_L011_Q105,11,Naming Words,Which word names a thing?,sing,clock,beautifully,run,clock,MCQ,,
F_ENG_L011_Q106,11,Naming Words,"A noun can name a person, place, animal, or _________.",describe,doing,thing,action,thing,MCQ,,
F_ENG_L011_Q107,11,Naming Words,Which word is NOT a Noun?,school,run,teacher,book,run,MCQ,,
F_ENG_L011_Q108,11,Naming Words,Which word is NOT a Noun?,elephant,car,garden,happy,happy,MCQ,,
F_ENG_L011_Q109,11,Naming Words,Which word is a Naming Word?,quickly,kind,mountain,jump,mountain,MCQ,,
F_ENG_L011_Q110,11,Naming Words,Which word is a Naming Word?,play,beautiful,loudly,river,river,MCQ,,
F_ENG_L011_Q111,11,Naming Words,Which word is a Naming Word?,run,airport,slowly,sing,airport,MCQ,,
F_ENG_L012_Q112,12,Naming Words,Which word is a Noun (Naming Word)?,market,quickly,run,happy,market,MCQ,,
F_ENG_L012_Q113,12,Naming Words,Which word is a Noun (Naming Word)?,jump,slowly,beautiful,teacher,teacher,MCQ,,
F_ENG_L012_Q114,12,Naming Words,Which word is a Noun (Naming Word)?,loudly,castle,play,kind,castle,MCQ,,
F_ENG_L012_Q115,12,Naming Words,Which word is a Noun (Naming Word)?,blue,pilot,fast,swim,pilot,MCQ,,
F_ENG_L012_Q116,12,Naming Words,Which word is a Noun (Naming Word)?,island,quickly,sing,happy,island,MCQ,,
F_ENG_L012_Q117,12,Naming Words,The _________ flew high in the sky. (Noun),jump,slowly,run,kite,kite,MCQ,,
F_ENG_L012_Q118,12,Naming Words,We visited the _________ to borrow books. (Noun),library,play,quickly,kind,library,MCQ,,
F_ENG_L012_Q119,12,Naming Words,The _________ cooked a delicious meal. (Noun),fast,sing,chef,loudly,chef,MCQ,,
F_ENG_L012_Q120,12,Naming Words,I wrote with a _________. (Noun),jump,happy,crayon,run,crayon,MCQ,,
F_ENG_L012_Q121,12,Naming Words,The _________ carried passengers across the river. (Noun),kind,boat,swim,slowly,boat,MCQ,,
F_ENG_L013_Q122,13,Naming Words,"Which two words are naming words: ""The monkey climbed the tree.""",climbed & tree,monkey & climbed,monkey & tree,climbed & tree,monkey & tree,MCQ,,
F_ENG_L013_Q123,13,Naming Words,"Which two words are naming words: ""The baker sold fresh bread.""",bread & fresh,baker & bread,fresh & baker,fresh & sold,baker & bread,MCQ,,
F_ENG_L013_Q124,13,Naming Words,"Which two words are naming words: ""The rabbit hid in the bush.""",rabbit & hid,hid & bush,rabbit & bush,hid & in,rabbit & bush,MCQ,,
F_ENG_L013_Q125,13,Naming Words,"Which two words are naming words: ""The artist painted a picture.""",artist & painted,painted & picture,artist & picture,,artist & picture,MCQ,,
F_ENG_L013_Q126,13,Naming Words,"Which two words are naming words: ""The bus stopped near the school.""",bus & stopped,stopped & school,near & stopped,bus & school,bus & school,MCQ,,
F_ENG_L013_Q127,13,Naming Words,Which word names a place?,beach,run,happy,jump,beach,MCQ,,
F_ENG_L013_Q128,13,Naming Words,Which word names a person?,quickly,blue,firefighter,swim,firefighter,MCQ,,
F_ENG_L013_Q129,13,Naming Words,Which word names an animal?,play,loudly,penguin,kind,penguin,MCQ,,
F_ENG_L013_Q130,13,Naming Words,Which word names a thing?,helmet,run,happily,sing,helmet,MCQ,,
F_ENG_L013_Q131,13,Naming Words,A Naming Word is another name for a _________.,conjunction,verb,noun,adjective,noun,MCQ,,
F_ENG_L014_Q132,14,Naming Words,Which word is NOT a Noun?,carrot,school,tiger,run,run,MCQ,,
F_ENG_L014_Q133,14,Naming Words,Which word is NOT a Noun?,airport,teacher,book,happy,happy,MCQ,,
F_ENG_L014_Q134,14,Naming Words,Which word is a Naming Word?,jump,quickly,kind,crown,crown,MCQ,,
F_ENG_L014_Q135,14,Naming Words,Which word is a Naming Word?,loudly,play,forest,beautiful,forest,MCQ,,
F_ENG_L014_Q136,14,Naming Words,Which word is a Naming Word?,slowly,run,sing,astronaut,astronaut,MCQ,,
F_ENG_L014_Q137,14,Naming Words,Which word is NOT a Noun?,apple,school,chair,quickly,quickly,MCQ,,
F_ENG_L014_Q138,14,Naming Words,Which word is a Naming Word?,dance,river,loudly,kind,river,MCQ,,
F_ENG_L014_Q139,14,Naming Words,Which word is a Naming Word?,happy,pencil,run,slowly,pencil,MCQ,,
F_ENG_L014_Q140,14,Naming Words,Which word is NOT a Noun?,teacher,mountain,quickly,garden,quickly,MCQ,,
F_ENG_L014_Q141,14,Naming Words,Which word is a Naming Word?,jump,bird,loudly,kind,bird,MCQ,,
F_ENG_L015_Q142,15,,,,,,,,Lesson,English/verb.md,
F_ENG_L015_Q143,15,Action Words,What action is shown in the picture?,catching,drinking,reading,writing,catching,MCQ,catch.png,
F_ENG_L015_Q144,15,Action Words,What action is shown in the picture?,drinking,eating,pushing,swimming,drinking,MCQ,drink.png,
F_ENG_L015_Q145,15,Action Words,What action is shown in the picture?,eating,throwing,reading,sliding,eating,MCQ,eat.png,
F_ENG_L015_Q146,15,Action Words,What action is shown in the picture?,pushing,catching,writing,swimming,pushing,MCQ,push.png,
F_ENG_L015_Q147,15,Action Words,What action is shown in the picture?,reading,drinking,throwing,sleeping,reading,MCQ,read.png,
F_ENG_L015_Q148,15,Action Words,What action is shown in the picture?,sleeping,sliding,swimming,writing,sleeping,MCQ,sleep.png,
F_ENG_L015_Q149,15,Action Words,What action is shown in the picture?,sliding,catching,eating,pushing,sliding,MCQ,slide.png,
F_ENG_L015_Q150,15,Action Words,What action is shown in the picture?,swimming,drinking,throwing,reading,swimming,MCQ,swim.png,
F_ENG_L015_Q151,15,Action Words,What action is shown in the picture?,throwing,pushing,eating,writing,throwing,MCQ,throw.png,
F_ENG_L015_Q152,15,Action Words,What action is shown in the picture?,writing,reading,catching,drinking,writing,MCQ,write.png,
F_ENG_L016_Q153,16,Action Words,I _____ the bus because I was late. (Verb),ate,jumped,missed,rushed,missed,MCQ,,
F_ENG_L016_Q154,16,Action Words,She _____ her homework before dinner. (Verb),completed,painted,danced,slept,completed,MCQ,,
F_ENG_L016_Q155,16,Action Words,They _____ football in the field yesterday. (Verb),played,washed,opened,cooked,played,MCQ,,
F_ENG_L016_Q156,16,Action Words,We _____ to the zoo last Sunday. (Verb),drank,sang,walked,repaired,walked,MCQ,,
F_ENG_L016_Q157,16,Action Words,He _____ a glass of water after running. (Verb),kicked,watched,closed,drank,drank,MCQ,,
F_ENG_L016_Q158,16,Action Words,The baby _____ loudly at night. (Verb),fixed,cried,jumped,built,cried,MCQ,,
F_ENG_L016_Q159,16,Action Words,My father _____ a new car last year. (Verb),bought,climbed,threw,painted,bought,MCQ,,
F_ENG_L016_Q160,16,Action Words,The teacher _____ the lesson clearly. (Verb),chased,explained,washed,borrowed,explained,MCQ,,
F_ENG_L016_Q161,16,Action Words,I _____ my friend at the market yesterday. (Verb),met,pushed,cleaned,opened,met,MCQ,,
F_ENG_L016_Q162,16,Action Words,She _____ the flowers every morning. (Verb),breaks,tears,cuts,waters,waters,MCQ,,
F_ENG_L017_Q163,17,Action Words,The dog _____ after the cat. (Verb),smiled,cooked,ran,slept,ran,MCQ,,
F_ENG_L017_Q164,17,Action Words,We _____ a movie together last night. (Verb),repaired,planted,watched,mixed,watched,MCQ,,
F_ENG_L017_Q165,17,Action Words,He _____ the door carefully. (Verb),kicked,opened,climbed,folded,opened,MCQ,,
F_ENG_L017_Q166,17,Action Words,They _____ the classroom before leaving. (Verb),borrowed,chased,cleaned,painted,cleaned,MCQ,,
F_ENG_L017_Q167,17,Action Words,I _____ my keys on the table. (Verb),shouted,drew,climbed,kept,kept,MCQ,,
F_ENG_L017_Q168,17,Action Words,The boys _____ in the river during summer. (Verb),built,fixed,carried,swam,swam,MCQ,,
F_ENG_L017_Q169,17,Action Words,She _____ a beautiful song at the event. (Verb),jumped,washed,sang,pushed,sang,MCQ,,
F_ENG_L017_Q170,17,Action Words,We _____ our grandparents during Eid vacation. (Verb),borrowed,visited,painted,repaired,visited,MCQ,,
F_ENG_L017_Q171,17,Action Words,He _____ the heavy box upstairs. (Verb),slept,smiled,carried,floated,carried,MCQ,,
F_ENG_L017_Q172,17,Action Words,The students _____ quietly in the library. (Verb),studied,climbed,shouted,chased,studied,MCQ,,
F_ENG_L018_Q173,18,Action Words,I _____ an interesting storybook yesterday. (Verb),read,opened,repaired,pushed,read,MCQ,,
F_ENG_L018_Q174,18,Action Words,Mother _____ delicious biryani for lunch. (Verb),cooked,climbed,washed,chased,cooked,MCQ,,
F_ENG_L018_Q175,18,Action Words,The bird _____ high in the sky. (Verb),flew,crawled,folded,repaired,flew,MCQ,,
F_ENG_L018_Q176,18,Action Words,We _____ the match with great excitement. (Verb),enjoyed,mixed,planted,borrowed,enjoyed,MCQ,,
F_ENG_L018_Q177,18,Action Words,He _____ his bicycle very fast. (Verb),rode,slept,smiled,painted,rode,MCQ,,
F_ENG_L018_Q178,18,Action Words,The children _____ happily in the playground. (Verb),painted,laughed,repaired,folded,laughed,MCQ,,
F_ENG_L018_Q179,18,Action Words,I _____ my old teacher at the shopping mall. (Verb),cooked,saw,planted,climbed,saw,MCQ,,
F_ENG_L018_Q180,18,Action Words,She _____ the answer correctly in class. (Verb),answered,washed,floated,borrowed,answered,MCQ,,
F_ENG_L018_Q181,18,Action Words,They _____ trees beside the road last year. (Verb),planted,repaired,pushed,shouted,planted,MCQ,,
F_ENG_L018_Q182,18,Action Words,He _____ his hands before eating. (Verb),carried,mixed,washed,kicked,washed,MCQ,,
F_ENG_L019_Q183,19,Action Words,We _____ tea together in the evening. (Verb),drank,painted,climbed,fixed,drank,MCQ,,
F_ENG_L019_Q184,19,Action Words,The cat _____ under the table quietly. (Verb),borrowed,slept,repaired,opened,slept,MCQ,,
F_ENG_L019_Q185,19,Action Words,She _____ a letter to her cousin yesterday. (Verb),wrote,folded,pushed,climbed,wrote,MCQ,,
F_ENG_L019_Q186,19,Action Words,The boy _____ the ball very hard. (Verb),washed,planted,repaired,kicked,kicked,MCQ,,
F_ENG_L019_Q187,19,Action Words,I _____ my bag near the window. (Verb),mixed,placed,floated,chased,placed,MCQ,,
F_ENG_L019_Q188,19,Action Words,They _____ the problem very quickly. (Verb),climbed,painted,solved,shouted,solved,MCQ,,
F_ENG_L019_Q189,19,Action Words,He _____ his little sister to school. (Verb),borrowed,repaired,took,folded,took,MCQ,,
F_ENG_L019_Q190,19,Action Words,The farmer _____ rice in the field. (Verb),washes,fixes,climbs,grows,grows,MCQ,,
F_ENG_L019_Q191,19,Action Words,We _____ the picnic very much. (Verb),carried,planted,pushed,enjoyed,enjoyed,MCQ,,
F_ENG_L019_Q192,19,Action Words,She _____ the candle with a match. (Verb),borrowed,floated,painted,lit,lit,MCQ,,
F_ENG_L020_Q193,20,Action Words,The students _____ the national anthem together. (Verb),repaired,sang,folded,chased,sang,MCQ,,
F_ENG_L020_Q194,20,Action Words,I _____ the window because it was hot. (Verb),opened,planted,climbed,mixed,opened,MCQ,,
F_ENG_L020_Q195,20,Action Words,He _____ all the questions in the exam. (Verb),floated,answered,repaired,shouted,answered,MCQ,,
F_ENG_L020_Q196,20,Action Words,The girls _____ colorful pictures in art class. (Verb),borrowed,climbed,drew,fixed,drew,MCQ,,
F_ENG_L020_Q197,20,Action Words,We _____ our lunch under the big tree. (Verb),ate,painted,folded,repaired,ate,MCQ,,
F_ENG_L020_Q198,20,Action Words,She _____ the baby gently to sleep. (Verb),chased,washed,hugged,planted,hugged,MCQ,,
F_ENG_L020_Q199,20,Action Words,The train _____ at the station on time. (Verb),floated,arrived,repaired,climbed,arrived,MCQ,,
F_ENG_L020_Q200,20,Action Words,I _____ my phone charger from my friend. (Verb),borrowed,painted,kicked,mixed,borrowed,MCQ,,
F_ENG_L020_Q201,20,Action Words,They _____ the floor after the party. (Verb),folded,shouted,climbed,swept,swept,MCQ,,
F_ENG_L020_Q202,20,Action Words,He _____ the truth without fear. (Verb),spoke,floated,repaired,planted,spoke,MCQ,,
F_ENG_L021_Q203,21,Action Words,The doctor treats patients with proper care. Choose the correct verb.,doctor,patients,proper,treats,treats,MCQ,,
F_ENG_L021_Q204,21,Action Words,My brother plays cricket every afternoon. Choose the correct verb.,afternoon,brother,cricket,plays,plays,MCQ,,
F_ENG_L021_Q205,21,Action Words,The teacher explains the lesson clearly. Choose the correct verb.,clearly,teacher,lesson,explains,explains,MCQ,,
F_ENG_L021_Q206,21,Action Words,Birds fly in the blue sky. Choose the correct verb.,fly,sky,blue,birds,fly,MCQ,,
F_ENG_L021_Q207,21,Action Words,The baby cries loudly at night. Choose the correct verb.,cries,night,loudly,baby,cries,MCQ,,
F_ENG_L021_Q208,21,Action Words,Mother cooks delicious food for us. Choose the correct verb.,delicious,food,mother,cooks,cooks,MCQ,,
F_ENG_L021_Q209,21,Action Words,The boy opened the window quickly. Choose the correct verb.,window,boy,quickly,opened,opened,MCQ,,
F_ENG_L021_Q210,21,Action Words,Farmers grow rice in the village. Choose the correct verb.,rice,farmers,grow,village,grow,MCQ,,
F_ENG_L021_Q211,21,Action Words,She writes beautiful stories in her notebook. Choose the correct verb.,notebook,stories,writes,beautiful,writes,MCQ,,
F_ENG_L021_Q212,21,Action Words,The dog chased the cat yesterday. Choose the correct verb.,cat,yesterday,dog,chased,chased,MCQ,,
F_ENG_L022_Q213,22,Action Words,We watched a movie last night. Choose the correct verb.,night,movie,watched,last,watched,MCQ,,
F_ENG_L022_Q214,22,Action Words,The student answered the question correctly. Choose the correct verb.,student,question,correctly,answered,answered,MCQ,,
F_ENG_L022_Q215,22,Action Words,Father drives carefully on busy roads. Choose the correct verb.,father,busy,drives,roads,drives,MCQ,,
F_ENG_L022_Q216,22,Action Words,The children laughed at the funny clown. Choose the correct verb.,children,funny,laughed,clown,laughed,MCQ,,
F_ENG_L022_Q217,22,Action Words,My friend borrowed my pencil yesterday. Choose the correct verb.,pencil,friend,yesterday,borrowed,borrowed,MCQ,,
